English,Reading,Mechanical,Abstract Reasoning,Math 
90,28,12,9,26
92,43,15,12,37
96,44,15,10,43
83,33,15,11,27
85,39,12,12,36
47,24,8,4,11
94,45,15,14,46
98,44,17,9,31
87,41,16,13,40
82,28,15,7,27
76,39,18,10,36
77,27,14,9,20
89,40,7,10,24
95,45,13,12,28
90,35,9,7,20
86,24,9,11,12
71,17,13,9,15
85,35,11,10,22
70,12,8,2,11
92,46,14,10,38
98,35,18,9,25
83,31,14,10,22
81,41,13,11,16
96,43,19,12,37
89,40,16,13,39
94,39,4,9,15
92,37,18,11,29
93,46,5,11,28
89,42,9,12,32
86,23,4,8,15
95,40,9,11,35
84,37,6,9,11
101,43,15,12,40
87,28,6,6,7
98,45,9,9,20
95,41,13,12,22
81,43,7,9,15
88,40,9,11,28
88,17,2,5,12
84,25,10,7,18
85,24,8,11,19
81,32,7,9,16
93,32,4,15,24
83,32,4,3,13
99,39,12,10,25
91,43,8,9,29
107,42,13,12,39
94,41,10,14,41
87,28,10,10,20
92,30,12,9,19
104,42,13,9,33
79,28,10,12,27
72,14,4,9,7
63,15,8,4,9
94,32,11,8,22
84,31,5,9,27
80,21,11,7,18
82,32,8,8,5
74,27,7,1,13
102,44,11,12,27
96,44,9,12,30
93,44,14,9,25
84,42,17,8,16
93,33,10,9,17
81,28,4,8,18
95,42,21,9,35
66,17,6,4,14
103,37,9,12,24
102,42,11,10,34
86,30,8,6,21
91,42,7,8,17
103,33,9,10,19
111,46,14,13,47
88,35,13,7,11
87,36,12,15,26
77,35,6,10,18
71,16,2,9,7
109,45,14,13,33
95,31,4,10,16
93,37,9,11,44
84,27,8,10,26
79,38,6,12,19
100,40,8,7,23
88,34,8,9,21
75,37,11,0,11
87,41,12,7,16
85,30,7,8,20
82,22,4,6,13
78,42,12,9,20
102,48,11,13,41
96,45,6,9,22
76,40,8,8,20
75,29,2,4,10
86,35,6,7,22
81,24,10,11,14
100,46,12,11,23
84,30,13,8,27
81,31,11,12,19
99,38,8,13,24
91,36,10,9,16
92,37,14,9,23
87,31,2,9,23
98,33,13,10,26
76,26,7,10,20
88,21,6,7,11
86,36,8,10,20
86,35,6,3,28
80,24,7,10,19
90,21,6,9,23
90,33,10,9,20
90,38,8,9,25
90,39,12,10,25
89,37,12,13,16
99,29,10,13,23
100,42,9,14,21
94,42,12,12,20
81,19,7,7,11
88,27,7,12,16
93,25,9,9,25
88,18,2,8,16
105,46,11,11,34
91,25,7,7,18
94,39,9,10,29
67,14,7,7,17
107,38,6,9,33
74,17,4,4,6
