GDPpercapita,AverageLifeExpectancy
25300,75.33217073
2000,60.93141463
20900,76.18729268
9500,74.5407561
26300,75.82929268
50300,82.19756098
49900,80.8902439
17500,70.69314634
700,54.09719512
2300,59.28756098
1900,56.27502439
4200,70.69339024
21700,74.46585366
31200,75.07256098
12700,76.27990244
18900,72.47073171
8300,73.90487805
99400,80.57243902
7500,67.21736585
15600,73.88595122
18700,75.29641463
78200,78.56643902
17800,47.40560976
700,50.13680488
48300,81.40112195
2300,80.25953659
16700,75.35302439
3900,50.75741463
3700,55.04180488
800,58.77
14500,73.97882927
12300,79.23926829
37000,78.27804878
16900,73.45095122
11500,76.46507317
1600,62.75463415
38300,82.42682927
31800,76.42439024
2200,63.61734146
9800,69.923
19900,68.96097561
19200,63.441
10700,74.0795122
4700,61.09863415
2000,56.09165854
1700,58.83134146
1800,54.27170732
36000,53.11456098
27700,80.63414634
14900,72.74134146
8100,71.99282927
35600,78.87512195
8200,66.20790244
61400,83.83170732
5600,73.80304878
24400,77.12682927
1800,63.05885366
12400,70.81743902
17000,69.47168293
51800,83.11707317
36300,82.05609756
38100,82.2902439
9200,73.46892683
26300,70.45
3500,61.68397561
66200,70.20243902
4000,71.74756098
1700,81.4597561
10500,70.79756098
66200,74.4627561
3700,68.24941463
1400,60.53187805
10000,75.36168293
12800,74.24029268
106300,81.79756098
27600,73.9804878
106300,80.3437561
5700,68.8115122
19100,77.93536585
19900,77.35402439
2200,55.0135122
42000,80.74634146
1200,65.09968293
4400,61.5117561
1200,55.23470732
29000,75.01626829
11300,64.34387805
31100,77.12195122
1200,58.44270732
5900,52.49978049
53600,81.10487805
71800,81.45121951
2700,68.40385366
38900,81.40731707
45200,76.85202439
5400,66.58536585
13300,74.81460976
3700,62.43073171
29500,76.84878049
2000,69.80695122
30400,80.37317073
124500,78.60690244
24500,74.46341463
27800,71.07317073
2100,63.99397561
54800,75.70336585
4600,62.0444878
2700,63.35073171
93900,82.34634146
2200,67.71690244
1600,45.55095122
8900,72.33892683
2200,55.0245122
1500,55.24121951
3200,66.26097561
14600,71.03163415
66800,76.26097561
34400,80.27804878
14600,48.93792683
28900,74.22682927
2900,74.71578049
1700,56.4885122
17900,74.36507317
3200,67.37460976
18100,65.46258537
5600,72.64231707
31400,69.92521951
26900,75.17595122
3200,61.49314634
2400,59.19
8700,71.1595122
22400,77.05141463
12800,72.50097561
12100,74.64309756
37000,79.62439024
6900,75.7564878
2700,71.68682927
1300,63.08958537
13500,56.73658537
1600,49.94385366
