"","Group=1","Group=2","Group=3"
"1",0.999999776431763,2.23568226561206e-07,1.0645858127464e-14
"2",0.999999994871,5.12899953647943e-09,2.44232332624823e-16
"3",0.886619014524587,0.113380979386025,6.08938815963772e-09
"4",0.999999999997013,2.98705910291811e-12,1.42237565721256e-19
"5",0.999999999934732,6.5268056981715e-11,3.10792964757353e-18
"6",0.999999281171874,7.18828092276324e-07,3.42291290498479e-14
"7",0.999999938947359,6.10526380020806e-08,2.90720030679922e-15
"8",0.999999999567242,4.32758175469833e-10,2.06070477116178e-17
"9",0.999999718765886,2.81234100827823e-07,1.33917889707315e-14
"10",0.999999995618177,4.3818223401356e-09,2.08653302241052e-16
"11",0.999999978435367,2.15646321165557e-08,1.02686312469441e-15
"12",0.999531376665706,0.000468623311968955,2.23253333675061e-11
"13",0.999999999577571,4.2242935797635e-10,2.01152108219932e-17
"14",0.999999999981513,1.84869470285855e-11,8.80310115201849e-19
"15",0.999999984068425,1.59315740268636e-08,7.58628559297866e-16
"16",0.999999999813031,1.86969323196223e-10,8.90309179851655e-18
"17",0.999930669818157,6.93301785413434e-05,3.30158835962543e-12
"18",0.999999052799566,9.47200388447519e-07,4.51037627561602e-14
"19",0.998296833238178,0.00170316668058253,8.12396332541662e-11
"20",0.00075101748609252,0.99918562959551,6.33529183972481e-05
"21",0.00068035467256844,0.999249707980472,6.99373469599713e-05
"22",0.00221889119978935,0.997759696641948,2.1412158263062e-05
"23",0.098427742020969,0.90157182181153,4.36167500595334e-07
"24",4.42694193636406e-07,0.902882017393193,0.0971175399126136
"25",0.0027732057484362,0.997209671447565,1.71228039985854e-05
"26",2.04833186190356e-07,0.811377461216976,0.188622333949837
"27",0.00417891356581168,0.995809739370923,1.13470632657085e-05
"28",6.75355669166322e-07,0.934135375863129,0.0658639487812018
"29",0.00517790291119047,0.994812948417561,9.1486712488995e-06
"30",5.25582578569939e-08,0.524658176953,0.475341770488742
"31",0.00106584531729892,0.99888952808539,4.46265973109803e-05
"32",0.000359485573159679,0.999508118277154,0.000132396149686512
"33",2.26837341243957e-07,0.826500035158883,0.173499738003775
"34",6.88338275267597e-15,1.46298777203846e-07,0.999999853701216
"35",3.75255382323303e-14,7.88296420028978e-07,0.999999211703542
"36",4.44089209850063e-16,1.14517487714849e-08,0.999999988548251
"37",0,1.17528209386819e-12,0.999999999998825
"38",0,2.72293299019566e-11,0.999999999972771
"39",0,0,1
"40",1.07949205130353e-11,0.000226647437717276,0.999773352551488
"41",0,9.31033028450656e-13,0.999999999999069
"42",0,2.62012633811537e-14,0.999999999999974
"43",0,3.78141962187328e-13,0.999999999999622
"44",0,8.19247558681013e-10,0.999999999180752
"45",0,2.85171886105218e-12,0.999999999997148
"46",4.14868139841928e-12,8.71152809448494e-05,0.999912884714906
"47",9.99200722162641e-15,2.11612086631341e-07,0.999999788387903
"48",0,1.22841226080084e-09,0.999999998771588
"49",1.70086167372574e-13,3.5729159670872e-06,0.999996427083863
"50",2.35600428055704e-11,0.000494525706857041,0.999505474269583
